entity_id,entity_name,field,stored_value,stored_provenance,rater_found_value,classification,auto_apply,outcome,reason,yaml_path,source_url,entity_type,abbreviation
aft,Armed Forces Tribunal,avg_disposal_days,1095,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aft,Armed Forces Tribunal,disposal_rate,0.8211,contaminated (homepage / 42-ladder / round-thousand),0.8126,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aft,Armed Forces Tribunal,disposed_last_year,7800,contaminated (homepage / 42-ladder / round-thousand),7993,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aft,Armed Forces Tribunal,filed_last_year,9500,contaminated (homepage / 42-ladder / round-thousand),9837,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aft,Armed Forces Tribunal,njdg_source_stamp,absent,NJDG stamp on a non-eCourts body,,expert-pending — rater split; no auto-write,N,disagree_verdict,verdicts differ: prajna=UNSOURCED agriya=NA,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aft,Armed Forces Tribunal,pending_cases,48000,contaminated (homepage / 42-ladder / round-thousand),1844,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aft.yaml,https://aftdelhi.nic.in/,CentralTribunal,AFT
aptel,Appellate Tribunal for Electricity,njdg_source_stamp,present,NJDG stamp on a non-eCourts body,absent,source_corrected — strip NJDG,Y,agree_refute_njdg,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)",/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/aptel.yaml,,CentralTribunal,APTEL
cat,Central Administrative Tribunal,avg_disposal_days,912,contaminated (homepage / 42-ladder / round-thousand),,gap — both UNSOURCED; no canon change,N,agree_unsourced,both raters found no matching-period primary,/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
cat,Central Administrative Tribunal,disposal_rate,0.65,contaminated (homepage / 42-ladder / round-thousand),1.0746,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
cat,Central Administrative Tribunal,disposed_last_year,11700,contaminated (homepage / 42-ladder / round-thousand),35460,stored contaminated → corrected_false (null); replacement is single-rater → suggested/,Y,disagree_period,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch),/Users/user/Documents/repo/jem/.worktrees/integrate-consensus/jem/data/entities/_generated/backbone/cat.yaml,,CentralTribunal,CAT
