entity_id,type,field,current_value,current_source_type,current_source_url,data_as_of
py_slsa,ADRBody,njdg_source_stamp,present,,,
py_cdrc,ConsumerCommission,njdg_source_stamp,present,,,
mh_cdrc_mumbai,ConsumerCommission,pending_cases,22000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_cdrc_mumbai,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
mh_state_cdrc,ConsumerCommission,pending_cases,32000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_state_cdrc,ConsumerCommission,filed_last_year,8500,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_state_cdrc,ConsumerCommission,disposed_last_year,7200,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_state_cdrc,ConsumerCommission,disposal_rate,0.8471,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_state_cdrc,ConsumerCommission,avg_disposal_days,730,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_state_cdrc,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
mh_cdrc_pune,ConsumerCommission,pending_cases,14000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_cdrc_pune,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
merc,RegulatoryBodyQJ,pending_cases,1450,AnnualReport,https://merc.gov.in/,2024-12-01
merc,RegulatoryBodyQJ,filed_last_year,620,AnnualReport,https://merc.gov.in/,2024-12-01
merc,RegulatoryBodyQJ,disposed_last_year,540,AnnualReport,https://merc.gov.in/,2024-12-01
merc,RegulatoryBodyQJ,disposal_rate,0.871,AnnualReport,https://merc.gov.in/,2024-12-01
merc,RegulatoryBodyQJ,avg_disposal_days,730,AnnualReport,https://merc.gov.in/,2024-12-01
merc,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
mh_slsa,ADRBody,njdg_source_stamp,present,,,
mh_cdrc_nagpur,ConsumerCommission,pending_cases,9500,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
mh_cdrc_nagpur,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
mh_rera,RegulatoryBodyQJ,pending_cases,42000,AnnualReport,https://maharera.maharashtra.gov.in/,2024-12-01
mh_rera,RegulatoryBodyQJ,filed_last_year,28000,AnnualReport,https://maharera.maharashtra.gov.in/,2024-12-01
mh_rera,RegulatoryBodyQJ,disposed_last_year,24000,AnnualReport,https://maharera.maharashtra.gov.in/,2024-12-01
mh_rera,RegulatoryBodyQJ,disposal_rate,0.8571,AnnualReport,https://maharera.maharashtra.gov.in/,2024-12-01
mh_rera,RegulatoryBodyQJ,avg_disposal_days,365,AnnualReport,https://maharera.maharashtra.gov.in/,2024-12-01
mh_rera,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
ka_slsa,ADRBody,njdg_source_stamp,present,,,
kerc,RegulatoryBodyQJ,pending_cases,1100,AnnualReport,https://kerc.gov.in/,2024-12-01
kerc,RegulatoryBodyQJ,filed_last_year,460,AnnualReport,https://kerc.gov.in/,2024-12-01
kerc,RegulatoryBodyQJ,disposed_last_year,398,AnnualReport,https://kerc.gov.in/,2024-12-01
kerc,RegulatoryBodyQJ,disposal_rate,0.8652,AnnualReport,https://kerc.gov.in/,2024-12-01
kerc,RegulatoryBodyQJ,avg_disposal_days,730,AnnualReport,https://kerc.gov.in/,2024-12-01
kerc,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
ka_cdrc_bengaluru,ConsumerCommission,pending_cases,14000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_cdrc_bengaluru,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
ka_rera,RegulatoryBodyQJ,pending_cases,18000,AnnualReport,https://rera.karnataka.gov.in/,2024-12-01
ka_rera,RegulatoryBodyQJ,filed_last_year,7500,AnnualReport,https://rera.karnataka.gov.in/,2024-12-01
ka_rera,RegulatoryBodyQJ,disposed_last_year,6200,AnnualReport,https://rera.karnataka.gov.in/,2024-12-01
ka_rera,RegulatoryBodyQJ,disposal_rate,0.8267,AnnualReport,https://rera.karnataka.gov.in/,2024-12-01
ka_rera,RegulatoryBodyQJ,avg_disposal_days,547,AnnualReport,https://rera.karnataka.gov.in/,2024-12-01
ka_rera,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
ka_state_cdrc,ConsumerCommission,pending_cases,20000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_state_cdrc,ConsumerCommission,filed_last_year,5800,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_state_cdrc,ConsumerCommission,disposed_last_year,5100,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_state_cdrc,ConsumerCommission,disposal_rate,0.8793,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_state_cdrc,ConsumerCommission,avg_disposal_days,547,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
ka_state_cdrc,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
dl_state_cdrc,ConsumerCommission,pending_cases,24000,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
dl_state_cdrc,ConsumerCommission,filed_last_year,6200,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
dl_state_cdrc,ConsumerCommission,disposed_last_year,5400,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
dl_state_cdrc,ConsumerCommission,disposal_rate,0.871,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
dl_state_cdrc,ConsumerCommission,avg_disposal_days,730,DoJ_Report,https://consumerhelpline.gov.in/,2024-12-01
dl_state_cdrc,ConsumerCommission,njdg_source_stamp,present,,,2024-12-01
derc,RegulatoryBodyQJ,pending_cases,980,AnnualReport,https://derc.gov.in/,2024-12-01
derc,RegulatoryBodyQJ,filed_last_year,380,AnnualReport,https://derc.gov.in/,2024-12-01
derc,RegulatoryBodyQJ,disposed_last_year,330,AnnualReport,https://derc.gov.in/,2024-12-01
derc,RegulatoryBodyQJ,disposal_rate,0.8684,AnnualReport,https://derc.gov.in/,2024-12-01
derc,RegulatoryBodyQJ,avg_disposal_days,730,AnnualReport,https://derc.gov.in/,2024-12-01
derc,RegulatoryBodyQJ,njdg_source_stamp,present,,,2024-12-01
dl_slsa,ADRBody,njdg_source_stamp,present,,,
dl_rera,RegulatoryBodyQJ,njdg_source_stamp,present,,,
tn_slsa,ADRBody,njdg_source_stamp,present,,,
tn_rera,RegulatoryBodyQJ,njdg_source_stamp,present,,,
tnerc,RegulatoryBodyQJ,pending_cases,1200,AnnualReport,,2024-12-01
