"JEM is an open map of India's judicial and quasi-judicial institutions — structure, not case outcomes."
"Please check the official-source figures below and tell us which value should stand, using the last four columns."
"Fill expert_verdict, expert_value, expert_source_url, expert_note. Reply-all to the requesting maintainer. Leave org as pre-filled."
expert_verdict choices: Correct as shown / Use our-found value / Different value below / Cannot verify

Entity (name + abbr),What we measured,Period,Value currently in JEM,What our checks found,"Primary source (title + URL, or none found)",Question for you,expert_verdict,expert_value,expert_source_url,expert_note,org,entity_id,field,consensus_outcome
Armed Forces Tribunal (AFT),share of filed cases that were disposed,2024-12-01,0.8211,0.8126,https://sansad.in/getFile/annex/270/AU4152_7qPrJE.pdf?source=pqars,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,aft,disposal_rate,disagree_period
Armed Forces Tribunal (AFT),cases disposed in the reporting period,2024-12-01,7800,7993,https://sansad.in/getFile/annex/270/AU4152_7qPrJE.pdf?source=pqars,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,aft,disposed_last_year,disagree_period
Armed Forces Tribunal (AFT),cases filed in the reporting period,2024-12-01,9500,9837,https://sansad.in/getFile/annex/270/AU4152_7qPrJE.pdf?source=pqars,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,aft,filed_last_year,disagree_period
Armed Forces Tribunal (AFT),whether the National Judicial Data Grid is listed as a source,2024-12-01,absent,none found,https://aftdelhi.nic.in/,The two independent checks disagreed on whether a replacement figure is safe to use. What should JEM show?,,,,,daksh,aft,njdg_source_stamp,disagree_verdict
Armed Forces Tribunal (AFT),cases waiting to be decided,2024-12-01,48000,1844,https://sansad.in/getFile/annex/270/AU4152_7qPrJE.pdf?source=pqars,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,aft,pending_cases,disagree_period
Appellate Tribunal for Electricity (APTEL),whether the National Judicial Data Grid is listed as a source,,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,aptel,njdg_source_stamp,agree_refute_njdg
Central Administrative Tribunal (CAT),share of filed cases that were disposed,2024-12-01,0.65,1.0746,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2244915,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,cat,disposal_rate,disagree_period
Central Administrative Tribunal (CAT),cases disposed in the reporting period,2024-12-01,11700,35460,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2244915,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,cat,disposed_last_year,disagree_period
Central Administrative Tribunal (CAT),cases filed in the reporting period,2024-12-01,18000,32998,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2244915,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,cat,filed_last_year,disagree_period
Central Administrative Tribunal (CAT),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,cat,njdg_source_stamp,agree_refute_njdg
Central Administrative Tribunal (CAT),cases waiting to be decided,2024-12-01,42000,69581,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2244915,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,cat,pending_cases,disagree_period
"Customs, Excise and Service Tax Appellate Tribunal (CESTAT)",whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,cestat,njdg_source_stamp,agree_refute_njdg
"Customs, Excise and Service Tax Appellate Tribunal (CESTAT)",cases waiting to be decided,2024-12-01,120000,72179,https://cestat.gov.in/,The two independent checks disagreed on whether a replacement figure is safe to use. What should JEM show?,,,,,daksh,cestat,pending_cases,disagree_verdict
Debt Recovery Appellate Tribunal (DRAT),whether the National Judicial Data Grid is listed as a source,,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,drat,njdg_source_stamp,agree_refute_njdg
Debt Recovery Tribunal (DRT),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,drt,njdg_source_stamp,agree_refute_njdg
Debt Recovery Tribunal (DRT),cases waiting to be decided,2024-12-01,195000,178172,https://www.freepressjournal.in/business/debt-recovery-tribunals-on-the-edge-178-lakh-cases-keeping-them-suspenseful,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,drt,pending_cases,disagree_period
Income Tax Appellate Tribunal (ITAT),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,itat,njdg_source_stamp,agree_refute_njdg
National Company Law Appellate Tribunal (NCLAT),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,nclat,njdg_source_stamp,agree_refute_njdg
National Company Law Tribunal (NCLT),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,nclt,njdg_source_stamp,agree_refute_njdg
National Company Law Tribunal (NCLT),cases waiting to be decided,2024-12-01,45000,20484,https://sansad.in/getFile/loksabhaquestions/annex/184/AS222_n4MMkm.pdf?source=pqals,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,nclt,pending_cases,disagree_period
National Green Tribunal (NGT),share of filed cases that were disposed,2026-04-30,0.9813,0.739,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,ngt,disposal_rate,disagree_period
National Green Tribunal (NGT),cases disposed in the reporting period,2026-04-30,1937,3936,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,ngt,disposed_last_year,disagree_period
National Green Tribunal (NGT),cases filed in the reporting period,2026-04-30,1976,5326,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,ngt,filed_last_year,disagree_period
National Green Tribunal (NGT),whether the National Judicial Data Grid is listed as a source,2026-04-30,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,daksh,ngt,njdg_source_stamp,agree_refute_njdg
National Green Tribunal (NGT),cases waiting to be decided,2026-04-30,5698,5890,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,daksh,ngt,pending_cases,disagree_period
Securities Appellate Tribunal (SAT),share of filed cases that were disposed,FY 2025-26,0.9079,0.7529,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,daksh,sat,disposal_rate,disagree_period
Securities Appellate Tribunal (SAT),cases disposed in the reporting period,FY 2025-26,345,323,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,daksh,sat,disposed_last_year,disagree_period
