entity_id,type,field,current_value,current_source_type,current_source_url,verdict,verified_value,verified_as_of,source_class,source_title,source_url,table_or_section,verbatim_excerpt,primary_count,independent_secondary_count,confidence_tier,njdg_stamp_valid,anomaly_flags,notes
sat,CentralTribunal,pending_cases,420,AnnualReport,https://satweb.sat.gov.in/,REFUTE,1066,2026-03-31,AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)","Table 10.35: 'Appeals Pending at the end of the year 960 1,066'; narrative: 'At the end of March 31, 2026, 1,066 appeals were pending before the Hon'ble SAT'",1,0,verified,,"42-ladder, homepage-url","stored 420 matches no primary figure; Table 10.35 gives 849 (beginning FY25), 960 (end FY2024-25) and 1,066 (end FY2025-26). Stored data_as_of 2024-12-01 has no published SAT pendency figure; closest primaries are end-FY figures. Correct value 1,066 (as on 31 Mar 2026)."
sat,CentralTribunal,filed_last_year,380,AnnualReport,https://satweb.sat.gov.in/,REFUTE,429,2025-26 (FY),AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)",Table 10.35: 'Appeals filed during the year 533 429'; narrative: '429 new appeals were filed in 2025-26',1,1,verified,,homepage-url,"stored 380 matches no primary figure; SEBI AR: 533 filed FY2024-25, 429 filed FY2025-26. Livemint (6 Aug 2026) independently states 429 per the AR."
sat,CentralTribunal,disposed_last_year,345,AnnualReport,https://satweb.sat.gov.in/,REFUTE,323,2025-26 (FY),AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)","narrative: 'The Hon'ble SAT disposed of 323 appeals during 2025-26' (=135 dismissed +28 remanded +47 allowed +88 modified +25 withdrawn, Table 10.35)",1,1,verified,,homepage-url,"stored 345 matches no primary figure; SEBI AR: 422 disposed FY2024-25 (308+21+23+42+28), 323 disposed FY2025-26 (135+28+47+88+25). Livemint cites dismissed=135, a SUB-FIGURE of the 323 total (flag per prompt); does not state 345."
sat,CentralTribunal,disposal_rate,0.9079,AnnualReport,https://satweb.sat.gov.in/,REFUTE,0.7529,2025-26 (FY),AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)",derived: 323 disposed / 429 filed = 0.7529 (Table 10.35); AR publishes no disposal rate,1,1,partial_approaching_complete,,"homepage-url, rate-mismatch, stored-rate","stored 0.9079 == 345/380 exactly (the stored wrong filed/disposed) but != recomputed 323/429=0.7529; AR publishes no rate, so verified value is derived from Table 10.35."
sat,CentralTribunal,avg_disposal_days,365,AnnualReport,https://satweb.sat.gov.in/,UNSOURCED,,,AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)",no primary contains average disposal days for SAT,0,0,UNSOURCED,,"365-day, homepage-url",no primary contains average disposal days for SAT; recommend withdraw/null. 365 also equals the anomaly '365-day' suspect.
sat,CentralTribunal,njdg_source_stamp,present,AnnualReport,https://satweb.sat.gov.in/,UNSOURCED,,,AnnualReport,SEBI Annual Report 2025-26,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf,"Chapter 10, §10.3 Litigations A. Appeals in SAT; Table 10.35 'Status of Appeals before SAT' (AR 2025-26, p.156)",NJDG stamp present in stored sources[]; no primary affirms it,0,0,UNSOURCED,FALSE,,recommend strip NJDG source: SAT is not an eCourts body; NJDG is invalid for every entity in this set (verifier_prompt.md). njdg_stamp_valid=FALSE.
aptel,CentralTribunal,njdg_source_stamp,present,,,UNSOURCED,,,,,,,,0,0,UNSOURCED,FALSE,,recommend strip NJDG source: entity aptel is not an eCourts body; NJDG is invalid for every entity in this set (verifier_prompt.md). njdg_stamp_valid=FALSE; no primary affirms an NJDG source stamp.
diac,ArbitralInstitution,njdg_source_stamp,present,,,UNSOURCED,,,,,,,,0,0,UNSOURCED,FALSE,,recommend strip NJDG source: entity diac is not an eCourts body; NJDG is invalid for every entity in this set (verifier_prompt.md). njdg_stamp_valid=FALSE; no primary affirms an NJDG source stamp.
dl_rera,RegulatoryBodyQJ,njdg_source_stamp,present,,,UNSOURCED,,,,,,,,0,0,UNSOURCED,FALSE,,recommend strip NJDG source: entity dl_rera is not an eCourts body; NJDG is invalid for every entity in this set (verifier_prompt.md). njdg_stamp_valid=FALSE; no primary affirms an NJDG source stamp.
dl_slsa,ADRBody,njdg_source_stamp,present,,,UNSOURCED,,,,,,,,0,0,UNSOURCED,FALSE,,recommend strip NJDG source: entity dl_slsa is not an eCourts body; NJDG is invalid for every entity in this set (verifier_prompt.md). njdg_stamp_valid=FALSE; no primary affirms an NJDG source stamp.
