entity_id,field,outcome,expert_queue,promotes_to_canon,calibration_eligible,model_diversity,prajna_verdict,prajna_value,agriya_verdict,agriya_value,stored_value,reason
aft,avg_disposal_days,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,1095,both raters found no matching-period primary
aft,disposal_rate,disagree_period,True,False,False,2,REFUTE,0.8126,UNSOURCED,,0.8211,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
aft,disposed_last_year,disagree_period,True,False,False,2,REFUTE,7993,UNSOURCED,,7800,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
aft,filed_last_year,disagree_period,True,False,False,2,REFUTE,9837,UNSOURCED,,9500,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
aft,njdg_source_stamp,disagree_verdict,True,False,False,2,UNSOURCED,,NA,,absent,verdicts differ: prajna=UNSOURCED agriya=NA
aft,pending_cases,disagree_period,True,False,False,2,REFUTE,1844,UNSOURCED,,48000,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
aptel,njdg_source_stamp,agree_refute_njdg,False,False,False,2,UNSOURCED,,REFUTE,absent,present,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)"
cat,avg_disposal_days,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,912,both raters found no matching-period primary
cat,disposal_rate,disagree_period,True,False,False,2,REFUTE,1.0746,UNSOURCED,,0.65,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cat,disposed_last_year,disagree_period,True,False,False,2,REFUTE,35460,UNSOURCED,,11700,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cat,filed_last_year,disagree_period,True,False,False,2,REFUTE,32998,UNSOURCED,,18000,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cat,njdg_source_stamp,agree_refute_njdg,False,False,False,2,UNSOURCED,,REFUTE,absent,present,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)"
cat,pending_cases,disagree_period,True,False,False,2,REFUTE,69581,UNSOURCED,,42000,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cci,avg_disposal_days,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,547,both raters found no matching-period primary
cci,disposal_rate,disagree_period,True,False,False,2,REFUTE,0.9064,UNSOURCED,,0.8534,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cci,disposed_last_year,disagree_period,True,False,False,2,REFUTE,184,UNSOURCED,,495,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cci,filed_last_year,disagree_period,True,False,False,2,REFUTE,203,UNSOURCED,,580,one rater replaces from a later-period primary; the other keeps the stored snapshot as UNSOURCED (period_mismatch)
cci,njdg_source_stamp,agree_refute_njdg,False,False,False,2,UNSOURCED,,REFUTE,absent,present,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)"
cci,pending_cases,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,890,both raters found no matching-period primary
cestat,avg_disposal_days,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,730,both raters found no matching-period primary
cestat,disposal_rate,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,0.8182,both raters found no matching-period primary
cestat,disposed_last_year,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,18000,both raters found no matching-period primary
cestat,filed_last_year,agree_unsourced,False,False,False,2,UNSOURCED,,UNSOURCED,,22000,both raters found no matching-period primary
cestat,njdg_source_stamp,agree_refute_njdg,False,False,False,2,UNSOURCED,,REFUTE,absent,present,"both raters recommend stripping the NJDG source stamp (REFUTE, njdg_stamp_valid=FALSE, or explicit strip note)"
cestat,pending_cases,disagree_verdict,True,False,False,2,UNSOURCED,,REFUTE,72179,120000,verdicts differ: prajna=UNSOURCED agriya=REFUTE
