"JEM is an open map of India's judicial and quasi-judicial institutions — structure, not case outcomes."
"Please check the official-source figures below and tell us which value should stand, using the last four columns."
"Fill expert_verdict, expert_value, expert_source_url, expert_note. Reply-all to the requesting maintainer. Leave org as pre-filled."
expert_verdict choices: Correct as shown / Use our-found value / Different value below / Cannot verify

Entity (name + abbr),What we measured,Period,Value currently in JEM,What our checks found,"Primary source (title + URL, or none found)",Question for you,expert_verdict,expert_value,expert_source_url,expert_note,org,entity_id,field,consensus_outcome
Appellate Tribunal for Electricity (APTEL),whether the National Judicial Data Grid is listed as a source,,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,aptel,njdg_source_stamp,agree_refute_njdg
Competition Commission of India (CCI),share of filed cases that were disposed,2024-12-01,0.8534,0.9064,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2225431,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,trustbridge,cci,disposal_rate,disagree_period
Competition Commission of India (CCI),cases disposed in the reporting period,2024-12-01,495,184,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2225431,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,trustbridge,cci,disposed_last_year,disagree_period
Competition Commission of India (CCI),cases filed in the reporting period,2024-12-01,580,203,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2225431,"One check treated a later official report as a replacement; the other said it describes a different reporting period. Should we keep the current figure, switch to the later one, or show both by period?",,,,,trustbridge,cci,filed_last_year,disagree_period
Competition Commission of India (CCI),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,cci,njdg_source_stamp,agree_refute_njdg
Maharashtra Electricity Regulatory Commission (MERC),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,merc,njdg_source_stamp,agree_refute_njdg
Securities Appellate Tribunal (SAT),share of filed cases that were disposed,FY 2025-26,0.9079,0.7529,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,trustbridge,sat,disposal_rate,disagree_period
Securities Appellate Tribunal (SAT),cases disposed in the reporting period,FY 2025-26,345,323,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,trustbridge,sat,disposed_last_year,disagree_period
Securities Appellate Tribunal (SAT),cases filed in the reporting period,FY 2025-26,380,429,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,trustbridge,sat,filed_last_year,disagree_period
Securities Appellate Tribunal (SAT),whether the National Judicial Data Grid is listed as a source,2026-03-31,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,sat,njdg_source_stamp,agree_refute_njdg
Securities Appellate Tribunal (SAT),cases waiting to be decided,FY 2025-26,420,1066,"SEBI Annual Report 2025-26, Chapter 10, Table 10.35 | https://www.sebi.gov.in/reports-and-statistics/publications/aug-2026/Chapter%2010.pdf",The stored figure looks unsourced. Both independent checks re-read SEBI's annual report and got the same replacement. Is that replacement correct?,,,,,trustbridge,sat,pending_cases,disagree_period
Securities and Exchange Board of India (SEBI),whether the National Judicial Data Grid is listed as a source,,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,sebi,njdg_source_stamp,agree_refute_njdg
Tamil Nadu Electricity Regulatory Commission (TNERC),whether the National Judicial Data Grid is listed as a source,2024-12-01,present,absent,NIC: National Judicial Data Grid (eCourts scope) | https://www.nic.gov.in/project/national-judicial-data-grid/,Our automated checks say the National Judicial Data Grid does not cover this body. Should that Grid listing be removed as a source?,,,,,trustbridge,tnerc,njdg_source_stamp,agree_refute_njdg
International Financial Services Centres Authority (IFSCA),whether this body belongs in JEM and whether its appeals go to SAT,,not yet confirmed in this verification round,suggested only — no relationship written,IFSCA Act 2019 (primary handle currently 404 on India Code) | confirm against live primary,Please confirm IFSCA's scope and whether appeals from IFSCA orders go to SAT. Do not treat a map edge as already decided.,,,,,trustbridge,ifsca,appealable_to_sat,suggested_gap
Petroleum and Natural Gas Regulatory Board (PNGRB),whether this body belongs in this review pack,,not in JEM's verify-trib-01 roster,none found in this round,none found,PNGRB was named for this review but has no row in the current 44-body verification set. Should we add it to a later pass?,,,,,trustbridge,pngrb,roster,suggested_gap
