entity_id,publishes_reports,statutorily_required,statutorily_required_source,report_type,last_published,last_published_url,expected_cadence,data_as_of,source_type,source_url,notes
cestat,no,unknown,,,,,,2026-09-01,GoIWebsite,https://cestat.gov.in,"no reports found after checking cestat.gov.in (only internal monthly bench-wise pendency circulars under /openfile/, no Annual Report/Publications page), CBIC/Dept of Revenue (no CESTAT-specific report), CAG Report No. 33 of 2025 (audits Dept of Revenue's Duty Drawback Scheme, not a CESTAT report); Customs Act 1962 ss.129/129A-C has no annual-report clause"
nclt,yes,unknown,,annual_report,,https://nclt.gov.in/sites/default/files/2026-02/AR%2024-25%20web_file.pdf,annual,2025-03-31,AnnualReport,https://nclt.gov.in/sites/default/files/2026-02/AR%2024-25%20web_file.pdf,"NCLT publishes its own Annual Report (2023-24 and 2024-25 editions both verified live on nclt.gov.in); no explicit statutory annual-report clause found in Companies Act 2013 Ch.XXVII or IBC 2016 s.60, so statutorily_required left unknown; last_published left null (no signed/dated foreword found within budget), data_as_of = FY2024-25 period end"
nclat,no,unknown,,,,,,2026-09-01,GoIWebsite,https://nclat.nic.in/self-appraisal-reports,"no case-activity/annual report found after checking nclat.nic.in (only RTI Self Appraisal/Transparency Audit reports 2023-24 & 2024-25, and Demand-for-Grants budget docs -- not activity reports), MCA (consolidated ministry report only), Lok Sabha Starred Q.293 07.08.2026 (parliamentary answer, not an NCLAT-published report); RTI review (taxguru.in) independently found pendency data 'not maintained in certified form'"
cat,no,unknown,,,,,,2026-09-01,GoIWebsite,https://cgat.gov.in/,"no annual report found after checking cgat.gov.in (no publications section) and cis.cgat.gov.in (live case-status lookup only, not a periodic report); DoPT (parent dept) archive not reachable -- dopt.gov.in is a known-unreachable host on this network; Administrative Tribunals Act 1985 has no annual-report clause"
itat,no,unknown,,,,,,2026-09-01,GoIWebsite,https://itat.gov.in/page/rti_orders_circulars,"no annual/case-activity report found after checking itat.gov.in (only a one-off 2022-23 RTI Self Appraisal Report, no Annual Report section), Income Tax Dept/CBDT (publishes ITAT pendency stats itself, not ITAT), DoJ quarterly vacancy data (DoJ product, not ITAT-published); Income Tax Act 1961 s.252 has no annual-report clause"
ngt,yes,unknown,,statistics,,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,irregular,2026-04-30,GoIWebsite,https://www.greentribunal.gov.in/bench-wise-institution-disposal-and-pendency-cases-ngt-principal-bench-and-all-zonal-benches,"NGT publishes a live, periodically-updated bench-wise pendency/disposal statistics page (verified live, data as of 30-04-2026) -- no narrative annual report exists; also publishes a judgment-digest 'e-Journal' (2024, 2025 vols I & II) which is noted but not the primary citation; NGT Act 2010 has no annual-report clause (checked full text) so statutorily_required left unknown"
sebi,yes,yes,https://www.sebi.gov.in/acts/act15ac.html,annual_report,2025-08-12,https://www.sebi.gov.in/sebi_data/attachdocs/aug-2025/1754995497778.pdf,annual,2025-03-31,AnnualReport,https://www.sebi.gov.in/reports-and-statistics/publications/aug-2025/annual-report-2024-25_96014.html,"SEBI Act 1992 s.18(2)-(3) mandates a 90-day post-FY annual report laid before Parliament; SEBI Annual Report 2024-25 verified live on sebi.gov.in, dated 12-08-2025 on its own publication page, covering FY2024-25"
cci,yes,yes,https://www.cci.gov.in/public/images/combinationlegalframeworkact/en/the-competition-act-20021733120802.pdf,annual_report,2024-12-20,https://www.cci.gov.in/public/images/annualreport/en/annual-report-2023-241734695318.pdf,annual,2024-03-31,AnnualReport,https://www.cci.gov.in/public/images/annualreport/en/annual-report-2023-241734695318.pdf,"Competition Act 2002 s.53(2)-(3) mandates an annual report laid before Parliament; CCI Annual Report 2023-24 verified live on cci.gov.in; last_published is approximate (from PDF filename Unix timestamp + corroborating Dec 23 2024 press coverage of tabling 'last week'), not read directly off the document; cci.gov.in/annual-report repository page itself is a JS-rendered empty shell and could not serve as the citation"
irdai,yes,yes,https://irdai.gov.in/documents/37343/366193/IRDA+Act+as+amended+by+Insurance+Laws%28Amendment%29+Act+2015.pdf/12f18de3-80a7-e448-31ea-b991eeff56a0?download=true&t=1665118643377&version=1.1,annual_report,2025-12-30,"https://irdai.gov.in/documents/37343/366637/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F%E0%A4%86%E0%A4%88+%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95+%E0%A4%B0%E0%A4%BF%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F+_+IRDAI+Annual+Report+2024-25.pdf/06f02832-66a3-6308-a16f-f46a6640fc93?version=2.0&t=1767598639163&download=true",annual,2025-03-31,AnnualReport,"https://irdai.gov.in/documents/37343/366637/%E0%A4%86%E0%A4%88%E0%A4%86%E0%A4%B0%E0%A4%A1%E0%A5%80%E0%A4%8F%E0%A4%86%E0%A4%88+%E0%A4%B5%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%95+%E0%A4%B0%E0%A4%BF%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F+_+IRDAI+Annual+Report+2024-25.pdf/06f02832-66a3-6308-a16f-f46a6640fc93?version=2.0&t=1767598639163&download=true","IRDAI Act 1999 s.20(2)-(3) mandates a 9-month post-FY annual report laid before Parliament; IRDAI Annual Report 2024-25 verified live on irdai.gov.in, portal 'Issue Date' 30-12-2025; unbroken archive back to 2018-19"
trai,yes,yes,https://lawgist.in/telecom-regulatory-authority-of-india-act/24,annual_report,2026-01-06,https://trai.gov.in/sites/default/files/2026-01/Annual_Report_06012026.pdf,annual,2025-03-31,AnnualReport,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2211766,"TRAI Act 1997 s.24(2)-(3) mandates an annual report laid before Parliament; TRAI's FY2024-25 report tabled in Lok Sabha 17-12-2025 and Rajya Sabha 18-12-2025, released publicly 06-01-2026 per PIB Press Release PRID=2211766 (primary GoI source, verified live); full public archive back to 2005-06 on trai.gov.in"
ibbi,yes,yes,https://lawgist.in/insolvency-and-bankruptcy-code/229,annual_report,,https://ibbi.gov.in/uploads/publication/df25773d8b9c63e69b0e880a84ba8cf0.pdf,annual,2025-03-31,AnnualReport,https://ibbi.gov.in/uploads/publication/df25773d8b9c63e69b0e880a84ba8cf0.pdf,"IBC 2016 s.229 mandates an annual report laid before Parliament (90-day submission, 31-Dec MCA deadline per 2018/2020 Rules); IBBI Annual Report 2024-25 verified live on ibbi.gov.in with unbroken archive back to 2018-19; last_published left null -- exact tabling date not confirmed within budget (must not be confused with IBBI's separate non-statutory Annual Day publication, e.g. 'Breaking New Ground...' released 01-10-2025)"
pfrda,yes,yes,https://pfrda.org.in/documents/33652/103065/PFRDA+Act+-+2013.pdf,annual_report,2025-12-18,https://pfrda.org.in/documents/33652/146225/Annual%2BReport%2B2024-25%2BEnglish.pdf,annual,2025-03-31,AnnualReport,https://pfrda.org.in/research-publications/annual-reports,"PFRDA Act 2013 s.46(2)-(3) mandates a 9-month post-FY annual report laid before Parliament; PFRDA Annual Report 2024-25 (English) verified live, Issue Date 18-12-2025 per pfrda.org.in's own listing; full archive back to 2018-19"
