entity_id,type,field,current_value,current_source_type,current_source_url,verdict,verified_value,verified_as_of,source_class,source_title,source_url,table_or_section,verbatim_excerpt,primary_count,independent_secondary_count,confidence_tier,njdg_stamp_valid,anomaly_flags,notes
py_slsa,ADRBody,njdg_source_stamp,present,,,REFUTE,absent,,GoI_primary,NIC: National Judicial Data Grid,https://www.nic.gov.in/project/national-judicial-data-grid/,Project description: eCourts scope,cases in High Courts and Subordinate Courts,1,0,partial,FALSE,,"recommend strip NJDG source. REFUTE refers to source validity, not whether the supplied stamp is present. verified_value=absent is the recommended state after removal. Applies the prompt's explicit exclusion rule, supported by NIC's court-system scope. No independent inspection of repository sources arrays."
py_cdrc,ConsumerCommission,njdg_source_stamp,present,,,REFUTE,absent,,GoI_primary,NIC: National Judicial Data Grid,https://www.nic.gov.in/project/national-judicial-data-grid/,Project description: eCourts scope,,1,0,partial,FALSE,,"recommend strip NJDG source. REFUTE refers to source validity, not whether the supplied stamp is present. verified_value=absent is the recommended state after removal. Applies the prompt's explicit exclusion rule, supported by NIC's court-system scope. No independent inspection of repository sources arrays."
mh_cdrc_mumbai,ConsumerCommission,pending_cases,22000,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|pending_round_thousand|report_source_empty_or_homepage,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document."
mh_cdrc_mumbai,ConsumerCommission,njdg_source_stamp,present,,,REFUTE,absent,,GoI_primary,NIC: National Judicial Data Grid,https://www.nic.gov.in/project/national-judicial-data-grid/,Project description: eCourts scope,,1,0,partial,FALSE,,"recommend strip NJDG source. REFUTE refers to source validity, not whether the supplied stamp is present. verified_value=absent is the recommended state after removal. Applies the prompt's explicit exclusion rule, supported by NIC's court-system scope. No independent inspection of repository sources arrays."
mh_state_cdrc,ConsumerCommission,pending_cases,32000,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|pending_round_thousand|report_source_empty_or_homepage,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document."
mh_state_cdrc,ConsumerCommission,filed_last_year,8500,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|report_source_empty_or_homepage|annual_period_undefined,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document."
mh_state_cdrc,ConsumerCommission,disposed_last_year,7200,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|report_source_empty_or_homepage|annual_period_undefined,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document."
mh_state_cdrc,ConsumerCommission,disposal_rate,0.8471,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|report_source_empty_or_homepage|annual_period_undefined|rate_matches_stored_inputs_4dp,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document. Stored-count arithmetic gives 0.8471. Arithmetic agreement does not verify those counts."
mh_state_cdrc,ConsumerCommission,avg_disposal_days,730,DoJ_Report,https://consumerhelpline.gov.in/,UNSOURCED,,,government_primary_reviewed_not_matched,mh_consumer_quarterly,https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf,"Maharashtra commission monthly-report archive, internal PDF dates, plus LS 2574 / LS 1389 annexures",,0,0,UNSOURCED,,period_mismatch|archive_label_date_mismatch|entity_scope_requires_review|primary_fetch_failed|report_source_empty_or_homepage,"Input data_as_of=2024-12-01. Official archive links have mismatched labels: the PDF saved as mh_consumer_quarterly has December 2023 content, while the link saved as mh_consumer_dec contains June 2023 content and the impossible printed date 31/06/2023. Neither establishes December 2024 pending. Tables distinguish state circuit benches, several Mumbai district commissions, Pune and Additional Pune, Nagpur and Additional Nagpur. Do not select an unspecified branch or use all-Maharashtra SCDRC+DCDRC totals for the state commission. LS 2574's state-commission complaints filed 9017 / disposed 787 cover January 2022 to October 2024, not one year. NCDRC stats page timed out. Reviewed/attempted URLs: https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250213750745887.pdf | https://cdnbbsr.s3waas.gov.in/s333bb83720ba9d2b6da87114380314af5/uploads/2025/02/20250212860018085.pdf | https://grahak.maharashtra.gov.in/en/document-category/monthly-report/ | https://sansad.in/getFile/loksabhaquestions/annex/183/AU2574_VTYbhc.pdf?source=pqals | https://sansad.in/getFile/loksabhaquestions/annex/183/AU1389_73tV2H.pdf?source=pqals | https://ncdrc.nic.in/stats.html. No primary establishes this field with matching period and scope. Recommend withdraw/null pending a dated source. UNSOURCED describes this search result, not proof of fabrication or non-publication. primary_count counts documents grounding a verdict or verified replacement, not every reviewed document."
mh_state_cdrc,ConsumerCommission,njdg_source_stamp,present,,,REFUTE,absent,,GoI_primary,NIC: National Judicial Data Grid,https://www.nic.gov.in/project/national-judicial-data-grid/,Project description: eCourts scope,,1,0,partial,FALSE,,"recommend strip NJDG source. REFUTE refers to source validity, not whether the supplied stamp is present. verified_value=absent is the recommended state after removal. Applies the prompt's explicit exclusion rule, supported by NIC's court-system scope. No independent inspection of repository sources arrays."
